"ID","DEPARTURE_DATE","ARRIVAL_DATE","ROUTE_ID","AIRPLANE_ID","ARRIVAL_COST","DEPARTURE_COST","TOTAL_FUEL_COST"
586,"29/07/2019","29/07/2019",1824,2,98806,71423,1636767
590,"02/09/2017","02/09/2017",876,2,86564,32434,1724251
592,"23/01/2018","24/01/2018",784,4,89604,77761,1232452
593,"05/03/2017","06/03/2017",1580,7,31030,86947,1023040
594,"12/10/2021","13/10/2021",1595,3,31990,35872,1151516
595,"09/07/2016","10/07/2016",1699,1,39171,97061,1815023
596,"24/05/2019","25/05/2019",1809,1,60778,30512,1283112
597,"03/11/2017","03/11/2017",1636,7,37603,35527,1052508
600,"","",18,4,50834,53335,1021708
601,"25/09/2015","26/09/2015",1213,2,85699,48932,1647821
602,"","",372,6,33467,91381,1474897
603,"30/05/2019","31/05/2019",423,4,40075,93671,1965668
604,"02/08/2022","03/08/2022",675,1,80974,50411,1615660
605,"18/05/2021","19/05/2021",2037,2,84649,96081,1727393
607,"03/08/2022","04/08/2022",971,4,53251,40433,1903161
608,"27/08/2022","28/08/2022",1598,1,74885,77367,1168987
609,"","",370,1,95124,39092,1543095
610,"26/03/2017","27/03/2017",102,4,39970,41315,1918285
611,"31/05/2021","31/05/2021",485,4,95195,96603,1803945
612,"13/11/2015","13/11/2015",989,6,33029,90781,1672783
613,"","",549,6,37953,92137,1349111
614,"31/03/2016","01/04/2016",1713,2,75477,37659,1075816
615,"25/01/2020","25/01/2020",1221,7,76839,79509,1817693
616,"20/06/2021","21/06/2021",441,7,82993,69743,1531580
617,"21/08/2020","22/08/2020",467,2,43644,47435,1933672
618,"05/07/2019","06/07/2019",1847,6,87092,31120,1811516
619,"01/12/2022","01/12/2022",461,1,85227,40291,1791083
620,"17/05/2021","18/05/2021",1787,3,81935,69187,1435905
623,"29/01/2020","30/01/2020",1496,7,74107,45336,1006082
624,"","",161,7,47844,85300,1659353
625,"30/06/2022","01/07/2022",582,4,74549,96108,1699585
626,"23/04/2017","23/04/2017",1527,7,73270,97453,1774696
630,"22/07/2017","23/07/2017",1113,3,67797,95559,1105050
631,"","",1054,5,36916,88431,1836469
632,"07/01/2020","08/01/2020",201,7,69266,42181,1006466
635,"31/10/2017","01/11/2017",1179,7,60655,39918,1178459
636,"24/04/2018","24/04/2018",845,2,40808,75147,1733229
637,"18/05/2015","18/05/2015",1204,2,55325,91409,1716119
638,"03/11/2022","04/11/2022",1587,2,74264,96159,1985318
640,"24/08/2021","24/08/2021",1221,7,31645,61646,1512150
641,"02/04/2018","02/04/2018",227,2,63267,87711,1614640
642,"29/06/2018","29/06/2018",1503,5,86478,97273,1393590
643,"","",908,7,83969,76457,1494760
644,"28/05/2019","28/05/2019",492,2,38705,56776,1985437
646,"17/01/2021","18/01/2021",267,6,56931,63256,1871477
647,"08/01/2019","09/01/2019",773,3,60640,59801,1716850
648,"26/10/2018","27/10/2018",1334,6,45592,94949,1393208
649,"02/02/2020","03/02/2020",1423,5,51088,77493,1671676
650,"","",949,6,97678,69526,1064534
651,"24/03/2015","24/03/2015",1178,2,49133,49240,1506477
652,"06/12/2022","07/12/2022",1721,6,63471,87374,1120293
653,"11/12/2017","12/12/2017",817,7,31333,84114,1812668
654,"23/01/2022","23/01/2022",918,4,70065,34737,1692936
655,"06/12/2019","06/12/2019",470,2,48141,59296,1006572
656,"06/10/2021","06/10/2021",1457,6,98536,56390,1038922
657,"02/12/2017","03/12/2017",1706,6,37682,90983,1802865
659,"25/05/2020","25/05/2020",2009,7,72766,68886,1838098
660,"12/12/2016","12/12/2016",1244,3,59285,36660,1714649
663,"01/05/2021","01/05/2021",16,2,64299,57291,1343082
665,"19/01/2021","20/01/2021",1246,1,78349,32644,1121450
666,"29/12/2017","30/12/2017",1273,3,51011,36824,1932433
667,"01/09/2018","01/09/2018",1801,3,80735,34691,1543450
668,"18/06/2015","19/06/2015",1339,6,74707,63750,1875843
669,"23/01/2021","24/01/2021",943,6,67716,84446,1374983
670,"06/05/2022","06/05/2022",1626,4,62692,49962,1294909
672,"17/02/2018","17/02/2018",1271,5,91061,78105,1311898
673,"22/07/2016","23/07/2016",728,5,69060,77726,1051254
674,"05/11/2018","06/11/2018",1155,1,61297,45888,1297405
676,"08/07/2018","08/07/2018",1075,3,48254,74618,1064121
677,"30/09/2022","01/10/2022",1265,6,85530,87595,1587324
679,"08/04/2022","09/04/2022",127,7,80256,41309,1089880
680,"16/06/2018","17/06/2018",1070,5,92631,85156,1955837
682,"11/03/2019","11/03/2019",75,6,32481,36586,1960581
683,"24/09/2015","25/09/2015",1592,7,77498,53631,1640203
684,"17/12/2021","18/12/2021",488,7,62547,76092,1007700
685,"","",1132,3,60057,41650,1898292
686,"26/11/2016","26/11/2016",1239,4,39732,49496,1207400
687,"16/05/2018","17/05/2018",2009,4,67455,85479,1793970
688,"14/02/2019","14/02/2019",1256,1,68069,40493,1849977
689,"","",793,7,74818,42639,1094706
691,"09/10/2016","10/10/2016",1562,5,52109,54916,1745939
692,"","",4,4,44222,73005,1422400
694,"","",551,7,47409,99650,1267069
695,"05/12/2018","05/12/2018",1404,5,37857,61628,1657396
696,"07/04/2016","08/04/2016",1337,5,85658,49273,1905847
697,"","",114,2,41427,65940,1710096
698,"12/08/2017","13/08/2017",1267,3,44554,39751,1438344
699,"21/05/2016","22/05/2016",858,3,96278,69765,1133008
700,"","",204,5,81009,50565,1019806
701,"","",955,2,35405,64933,1673784
702,"05/04/2018","05/04/2018",977,5,85354,37653,1369967
705,"20/09/2017","20/09/2017",1672,3,40970,76866,1539355
706,"","",820,6,55397,96799,1357037
707,"12/11/2015","13/11/2015",204,6,42691,40210,1585381
708,"28/12/2021","29/12/2021",850,2,39826,47307,1652626
709,"19/10/2017","19/10/2017",257,5,35875,71671,1898997
710,"20/02/2022","20/02/2022",1313,4,69370,92493,1493865
711,"17/08/2019","18/08/2019",356,3,49976,96536,1183690
712,"27/11/2021","27/11/2021",237,1,95104,93416,1163293
713,"21/07/2018","22/07/2018",2095,1,97612,50104,1158098
714,"11/06/2015","12/06/2015",1385,3,97382,91224,1263252
715,"16/04/2015","17/04/2015",526,4,53430,45040,1674794
716,"10/09/2018","11/09/2018",1072,4,68800,48346,1156747
717,"10/10/2016","11/10/2016",394,7,96681,40289,1730816
718,"08/11/2021","08/11/2021",1269,3,33073,90034,1441605
719,"09/11/2017","10/11/2017",341,5,31430,90747,1199207
720,"01/05/2016","01/05/2016",885,3,89232,56621,1495318
721,"","",671,7,73151,97081,1802112
722,"","",775,1,72149,63413,1611380
724,"18/09/2022","19/09/2022",995,5,73061,69126,1114407
725,"04/09/2022","05/09/2022",247,4,80181,66766,1132651
726,"05/01/2016","05/01/2016",881,3,42352,98368,1453644
728,"18/07/2020","19/07/2020",1301,7,63657,71239,1508048
729,"17/05/2018","17/05/2018",241,3,83808,34997,1637606
730,"22/03/2019","22/03/2019",361,7,74895,48144,1728484
731,"09/09/2015","09/09/2015",535,6,61933,87384,1848729
732,"10/09/2022","11/09/2022",1447,6,51920,95245,1955404
734,"26/02/2015","26/02/2015",125,3,71351,56478,1819276
735,"26/04/2019","27/04/2019",1431,3,66824,80288,1820704
736,"","",685,2,82218,40094,1932788
737,"","",1920,5,51583,60402,1970785
738,"19/04/2016","20/04/2016",343,4,40218,38042,1117594
739,"09/11/2016","10/11/2016",1010,6,41918,34687,1035435
740,"21/11/2018","22/11/2018",148,6,86885,34319,1415540
741,"06/04/2018","07/04/2018",782,1,45896,89337,1520904
742,"21/02/2019","22/02/2019",1367,5,73102,41784,1030001
743,"","",1,5,83431,42212,1125156
745,"","",583,7,85197,71913,1727729
746,"11/03/2015","11/03/2015",1484,7,90198,68530,1697304
747,"17/05/2016","17/05/2016",1781,6,71192,63473,1491779
748,"06/10/2016","07/10/2016",1679,1,93856,87345,1313902
750,"23/11/2015","24/11/2015",1926,1,41601,88432,1384799
751,"19/03/2019","20/03/2019",1668,1,98628,47467,1489938
753,"","",1895,7,99488,33855,1541535
754,"18/06/2022","19/06/2022",1477,2,78652,43839,1355390
755,"","",1623,2,39387,88781,1783367
756,"","",2006,5,85344,96822,1374267
757,"08/06/2018","09/06/2018",1132,6,49873,54257,1784731
758,"17/05/2020","17/05/2020",1321,5,59356,81050,1347338
759,"10/02/2018","10/02/2018",1022,7,36100,86270,1974899
760,"22/07/2015","22/07/2015",1372,6,59055,81541,1019341
761,"30/01/2015","30/01/2015",1952,1,63833,79605,1638079
763,"","",367,1,97483,52217,1557997
765,"","",851,4,80047,88806,1380594
766,"","",523,3,57170,81898,1759048
767,"10/04/2021","11/04/2021",308,4,44624,58420,1630443
768,"29/04/2022","30/04/2022",1597,5,86685,77838,1199048
769,"14/08/2020","14/08/2020",285,3,80193,86712,1547678
770,"27/03/2018","28/03/2018",1660,7,38022,61916,1828918
771,"30/11/2016","30/11/2016",1973,1,43055,81591,1529352
774,"16/05/2017","17/05/2017",1814,1,95880,69881,1192193
776,"","",1835,6,74659,74633,1213183
777,"24/09/2022","25/09/2022",63,1,78942,47722,1874614
778,"","",176,3,84657,68601,1002321
779,"","",286,5,96418,36772,1548047
780,"","",1249,2,82851,72996,1677967
781,"14/08/2016","14/08/2016",1662,2,65567,64052,1317871
783,"23/06/2017","24/06/2017",211,7,97404,36998,1490262
785,"29/05/2018","29/05/2018",1431,1,79706,89476,1633745
787,"","",354,7,52390,81816,1874701
789,"27/01/2019","27/01/2019",637,7,79033,71162,1296040
790,"17/01/2016","18/01/2016",644,4,98255,35486,1162642
791,"15/05/2019","16/05/2019",1981,6,71880,30067,1529287
792,"04/08/2017","04/08/2017",1007,3,47894,67834,1732725
793,"15/10/2020","16/10/2020",1645,4,91700,41573,1771592
794,"31/01/2017","31/01/2017",744,2,78392,44673,1854904
795,"","",944,1,43564,97203,1974392
796,"30/03/2021","31/03/2021",141,4,79845,99685,1588085
797,"","",331,1,89704,49206,1981607
798,"21/12/2020","22/12/2020",376,3,82435,74500,1678359
799,"23/08/2018","24/08/2018",1153,2,37698,91292,1929475
800,"11/03/2020","12/03/2020",1627,3,34309,43118,1014244
802,"03/02/2022","03/02/2022",318,4,91694,93500,1585773
804,"31/08/2018","01/09/2018",436,5,59686,82566,1936201
805,"","",670,6,87220,94603,1128872
806,"","",1655,4,36268,99559,1872901
807,"12/06/2019","12/06/2019",784,4,41609,59400,1576915
808,"02/02/2015","03/02/2015",182,3,48951,70932,1067428
809,"02/05/2019","03/05/2019",1994,1,84791,75370,1936707
810,"29/09/2016","30/09/2016",1760,7,79659,51055,1737059
811,"13/11/2018","13/11/2018",963,5,70471,35564,1920058
812,"","",1615,6,85562,36187,1137533
813,"21/02/2018","22/02/2018",528,4,34881,60577,1306857
816,"27/04/2018","27/04/2018",1567,5,55152,35282,1913881
817,"13/08/2020","14/08/2020",522,7,84557,45992,1767784
818,"28/11/2020","29/11/2020",1917,7,72818,63670,1209473
819,"","",1017,6,51367,84890,1619142
820,"","",1430,4,40589,81256,1117383
821,"","",1307,5,70750,76543,1262269
823,"","",1212,1,76657,77826,1374569
824,"","",546,3,71153,57540,1002357
825,"21/03/2016","21/03/2016",76,3,77958,83199,1412079
826,"26/10/2022","27/10/2022",2065,4,99015,53141,1682322
827,"05/09/2015","06/09/2015",356,7,50745,32106,1336786
829,"02/10/2020","02/10/2020",1100,7,52331,47079,1614248
830,"27/10/2017","27/10/2017",1485,2,35452,83927,1046295
832,"03/03/2016","04/03/2016",1487,7,72542,46754,1502538
833,"30/01/2017","30/01/2017",895,1,71822,89594,1133829
834,"23/08/2015","24/08/2015",995,4,96684,70611,1050596
836,"02/09/2017","03/09/2017",1098,6,36838,39745,1729968
837,"17/01/2019","18/01/2019",1561,1,58231,54967,1778556
839,"22/07/2019","23/07/2019",905,1,91352,98561,1781409
840,"03/08/2015","03/08/2015",1087,6,91516,64191,1787509
842,"03/02/2020","03/02/2020",1719,2,84954,88858,1229319
843,"30/03/2017","31/03/2017",1617,3,62369,31948,1804081
845,"03/06/2020","04/06/2020",1965,1,97730,93758,1210516
846,"16/02/2020","16/02/2020",412,6,74569,45878,1252256
847,"08/06/2019","08/06/2019",781,4,38059,47628,1642972
848,"23/04/2019","24/04/2019",337,3,97904,51946,1925180
849,"","",256,4,56820,46486,1319521
850,"","",1289,6,93715,80522,1840307
851,"23/12/2019","24/12/2019",967,2,50755,93613,1913848
852,"16/04/2021","17/04/2021",1812,1,96876,52005,1958175
853,"22/07/2018","23/07/2018",1034,2,99247,30345,1493610
858,"11/05/2022","11/05/2022",1152,2,97069,65230,1169468
862,"","",1033,3,76201,93612,1827463
863,"","",326,1,99531,51269,1651192
864,"03/08/2021","03/08/2021",445,6,33011,74823,1105838
865,"03/12/2017","04/12/2017",470,2,60087,75929,1929641
866,"22/06/2020","22/06/2020",234,1,51942,92607,1375003
867,"","",1526,6,70990,95359,1103120
868,"04/11/2015","05/11/2015",395,3,63210,69610,1519259
869,"08/09/2022","09/09/2022",219,1,72858,96341,1569937
870,"03/02/2018","03/02/2018",331,3,89169,97455,1348331
871,"06/12/2015","07/12/2015",1775,7,40554,51214,1275544
873,"","",672,2,71531,86398,1414743
874,"30/03/2017","31/03/2017",1615,2,72829,94380,1103447
876,"17/05/2019","17/05/2019",1213,2,83757,79881,1763700
877,"09/12/2019","10/12/2019",1811,7,38576,88136,1913386
878,"14/12/2019","14/12/2019",2001,4,34934,74587,1377115
879,"12/03/2016","13/03/2016",457,7,36686,52744,1567435
881,"01/09/2020","02/09/2020",482,3,41885,47060,1739073
882,"18/04/2020","18/04/2020",1975,6,30751,96305,1744168
883,"","",1611,2,68147,47371,1500463
884,"21/12/2019","22/12/2019",732,5,62680,95009,1515177
885,"27/08/2018","28/08/2018",404,5,64817,43056,1636062
886,"05/09/2020","05/09/2020",1113,2,62660,39227,1712078
887,"21/12/2018","22/12/2018",315,5,76269,49133,1372016
888,"29/04/2020","30/04/2020",1012,3,54999,65181,1576474
889,"","",1565,3,48876,65791,1700894
891,"28/05/2021","28/05/2021",1064,4,45981,90296,1236286
892,"31/12/2018","01/01/2019",2045,4,73246,46579,1879733
893,"10/11/2020","11/11/2020",1508,1,33924,73315,1782148
894,"12/04/2017","13/04/2017",1650,3,61945,88241,1974774
895,"30/11/2017","30/11/2017",688,3,52612,41424,1033584
896,"08/01/2021","08/01/2021",1856,4,40033,51878,1569996
899,"15/09/2019","16/09/2019",257,1,32409,56874,1535882
900,"29/05/2016","30/05/2016",1522,4,82596,69992,1451612
901,"","",1639,3,54037,84056,1882864
902,"06/04/2018","07/04/2018",2065,3,96387,75151,1300591
904,"02/06/2015","03/06/2015",1401,7,84040,55877,1850313
905,"06/07/2015","07/07/2015",235,5,85288,33107,1740586
906,"18/03/2017","18/03/2017",455,6,74163,80891,1250301
907,"26/08/2021","27/08/2021",145,5,42053,95170,1788062
910,"","",1036,3,88419,75967,1502468
912,"02/12/2022","02/12/2022",165,1,34178,78086,1241017
913,"","",619,1,60429,97658,1796702
915,"06/12/2016","07/12/2016",1354,5,37490,94401,1659617
917,"28/08/2018","28/08/2018",1965,5,35818,55961,1435172
918,"","",257,5,48515,40850,1660153
919,"26/06/2016","27/06/2016",821,7,40765,90805,1333153
920,"27/04/2021","28/04/2021",696,4,38756,63328,1781586
921,"18/11/2019","18/11/2019",1454,5,61914,68370,1829898
923,"24/10/2021","24/10/2021",1255,4,99983,38414,1856794
924,"20/03/2022","21/03/2022",849,3,54512,79126,1073650
925,"","",1443,5,67850,32694,1638216
928,"13/05/2016","13/05/2016",796,7,48665,91337,1781777
929,"21/01/2015","21/01/2015",844,7,81441,57064,1714523
930,"21/03/2020","21/03/2020",1738,7,77196,30548,1082058
931,"14/01/2019","15/01/2019",1991,2,46833,46236,1385824
932,"01/12/2021","01/12/2021",2084,5,91035,41298,1058499
934,"","",1564,3,52002,37476,1614984
935,"","",373,7,56889,65185,1444290
936,"14/06/2020","15/06/2020",241,5,98511,39544,1414388
937,"15/07/2019","16/07/2019",1470,7,73122,43153,1070330
938,"27/11/2019","27/11/2019",311,1,71228,38958,1031087
939,"01/01/2020","01/01/2020",1393,1,36354,99228,1926755
940,"23/10/2019","24/10/2019",1407,4,70494,43813,1458206
943,"29/08/2019","30/08/2019",124,7,85899,41445,1668798
944,"17/10/2015","18/10/2015",13,5,86535,85770,1856392
945,"20/06/2022","20/06/2022",574,6,44720,85583,1488648
946,"04/06/2015","05/06/2015",815,7,30353,83276,1671455
947,"02/03/2016","03/03/2016",1596,3,56478,85146,1516356
948,"","",1458,2,78793,51337,1331800
949,"","",1940,4,63283,57394,1310352
950,"21/09/2019","22/09/2019",1499,2,79021,36367,1713546
951,"04/09/2021","04/09/2021",766,6,51301,39348,1090067
952,"26/10/2015","26/10/2015",2083,1,68590,97491,1901523
953,"22/12/2020","22/12/2020",2087,3,99828,53993,1981354
954,"23/03/2020","24/03/2020",1468,2,83803,49112,1942776
955,"","",242,6,94653,55157,1682139
956,"12/11/2022","12/11/2022",1819,4,47541,50081,1259776
957,"","",925,6,43274,69520,1110730
958,"04/10/2019","04/10/2019",1881,4,51346,35435,1433834
959,"16/12/2018","16/12/2018",1555,4,37384,62932,1255359
960,"10/10/2019","10/10/2019",1588,1,88567,30298,1681698
961,"05/11/2015","06/11/2015",85,5,68942,55808,1997353
962,"24/09/2021","24/09/2021",1652,7,74996,73882,1071809
964,"14/07/2019","15/07/2019",389,4,87352,45374,1201230
965,"20/01/2021","20/01/2021",220,6,85479,43830,1133935
967,"13/06/2019","13/06/2019",953,5,37423,47401,1513351
969,"25/10/2015","25/10/2015",1010,1,72987,62123,1246043
970,"","",598,1,45159,34062,1757928
971,"30/07/2022","31/07/2022",1969,1,34938,85544,1648142
972,"21/06/2017","21/06/2017",723,2,44974,87725,1270270
973,"","",401,2,62251,46264,1704698
974,"28/11/2020","29/11/2020",971,5,61472,84220,1223638
975,"16/10/2019","16/10/2019",1712,7,39794,31383,1266829
976,"24/05/2021","25/05/2021",233,4,46335,77721,1235568
978,"01/01/2015","02/01/2015",1427,3,83905,38146,1239602
979,"04/03/2018","04/03/2018",1701,6,38972,66594,1392357
980,"05/10/2018","06/10/2018",505,5,75465,81024,1656441
981,"23/06/2018","24/06/2018",141,1,42436,87912,1988582
982,"","",1482,5,61348,88282,1917422
983,"10/10/2022","11/10/2022",751,5,99535,78886,1235020
986,"","",1439,3,84131,94596,1690760
988,"13/07/2017","14/07/2017",2,5,66238,76793,1351530
989,"30/10/2022","31/10/2022",405,4,70798,68827,1899484
990,"07/04/2017","08/04/2017",606,1,69920,73065,1298658
991,"","",1059,1,41127,59065,1144617
992,"04/09/2015","05/09/2015",95,6,48069,47293,1953452
993,"14/04/2022","15/04/2022",2110,1,58116,37120,1850004
994,"","",516,6,93528,55270,1484659
995,"06/03/2018","07/03/2018",1615,3,99554,49875,1858333
997,"18/12/2021","19/12/2021",1164,4,68881,68815,1571204
999,"22/11/2022","23/11/2022",348,7,66192,53266,1080015
1000,"14/05/2019","15/05/2019",800,1,72923,34074,1263438
1001,"02/04/2016","03/04/2016",1991,7,57135,36326,1998609
1002,"23/07/2016","24/07/2016",1585,2,33797,68956,1587810
1003,"12/05/2018","13/05/2018",344,3,66024,97194,1395246
1004,"","",716,3,53439,86710,1067337
1005,"17/05/2021","18/05/2021",321,4,43639,65842,1821430
1007,"","",1273,2,44289,61256,1827610
1008,"","",181,2,48682,94175,1668359
1010,"","",425,1,45749,60984,1904201
1011,"30/11/2018","30/11/2018",1338,6,95684,57391,1102944
1013,"13/03/2016","13/03/2016",797,1,33446,34824,1529111
1014,"08/02/2016","08/02/2016",1663,2,76735,31462,1856473
1015,"11/10/2017","11/10/2017",2054,5,36350,56473,1298133
1016,"","",1768,5,30949,92650,1455725
1017,"28/07/2017","29/07/2017",1104,3,69852,45470,1379751
1018,"28/07/2015","28/07/2015",1750,4,59330,55658,1015740
1020,"28/08/2022","28/08/2022",844,6,75113,64294,1386963
1021,"","",121,7,78288,55189,1858456
1022,"31/07/2017","01/08/2017",1765,6,65051,76861,1562389
1023,"10/03/2019","10/03/2019",1913,7,60432,99108,1998609
1024,"","",1900,2,80648,49606,1589367
1025,"18/08/2022","18/08/2022",1996,7,52936,62578,1573642
1026,"29/05/2021","30/05/2021",627,7,91522,64209,1242498
1028,"14/04/2022","15/04/2022",933,4,65165,62737,1584053
1029,"01/06/2020","02/06/2020",1845,5,90781,76341,1251270
1030,"","",685,5,93430,79520,1515127
1031,"","",1182,4,50094,58885,1021997
1032,"16/07/2021","16/07/2021",43,6,58851,34367,1064920
1033,"","",1231,7,50114,83671,1451351
1034,"","",134,3,78255,53307,1513608
1036,"","",1247,6,81588,67524,1614357
1037,"06/11/2022","07/11/2022",1189,4,37717,43358,1154879
1038,"","",1476,3,94301,95561,1478471
1040,"05/05/2019","05/05/2019",169,4,43252,96273,1861527
1041,"04/06/2018","04/06/2018",1559,4,35637,62538,1701801
1042,"18/09/2019","18/09/2019",570,2,77706,50023,1447906
1044,"26/10/2016","26/10/2016",1109,2,69799,87117,1100156
1045,"","",2037,3,69127,33585,1029118
1046,"09/12/2016","09/12/2016",1806,6,64775,61548,1566918
1047,"11/05/2015","11/05/2015",664,4,60356,32194,1286171
1048,"20/07/2021","20/07/2021",894,1,34046,84799,1488882
1049,"29/11/2017","30/11/2017",733,2,62096,70318,1091989
1050,"04/05/2021","05/05/2021",1745,7,55825,79331,1548580
1052,"01/11/2022","02/11/2022",717,1,39932,65808,1072184
1053,"13/06/2019","14/06/2019",1914,6,79216,41192,1383354
1054,"09/04/2018","09/04/2018",749,4,66000,69827,1504481
1055,"07/05/2015","07/05/2015",471,1,91641,98727,1315189
1056,"","",268,7,41786,98115,1655925
1057,"19/08/2021","19/08/2021",1989,7,41971,78028,1297972
1059,"","",2078,6,47737,74047,1759280
1061,"25/01/2022","25/01/2022",1388,2,90369,44057,1483046
1062,"15/04/2016","16/04/2016",1681,3,40897,46193,1840344
1063,"29/03/2022","29/03/2022",318,5,75259,66692,1567883
1064,"","",2093,3,66889,39714,1479624
1065,"07/01/2020","07/01/2020",647,2,91793,39569,1606698
1066,"28/02/2019","01/03/2019",1722,1,64810,85309,1098020
1067,"26/05/2019","27/05/2019",1203,3,54332,90344,1958624
1068,"","",321,3,33494,71638,1882395
1070,"09/01/2021","09/01/2021",1490,1,51195,33481,1237598
1071,"04/05/2016","05/05/2016",1652,6,31610,50410,1859886
1072,"25/01/2016","26/01/2016",552,6,35971,49836,1677799
1073,"","",2010,1,75343,47328,1544326
1074,"20/10/2021","21/10/2021",380,3,77245,32223,1427064
1075,"25/04/2018","25/04/2018",773,3,67243,44976,1665026
1076,"","",122,6,77165,45351,1243415
1077,"16/07/2018","17/07/2018",911,2,80995,82568,1485271
1078,"01/01/2015","01/01/2015",1161,5,54705,92382,1763455
1079,"13/06/2017","14/06/2017",1402,4,56859,38720,1449201
1080,"06/04/2020","07/04/2020",663,7,33191,97526,1878753
1081,"18/01/2020","18/01/2020",104,7,79464,85558,1283240
1082,"21/09/2017","22/09/2017",787,6,49792,67555,1182271
1083,"","",743,5,62408,65875,1716976
1084,"25/02/2020","25/02/2020",427,6,80001,68636,1536846
1085,"24/05/2022","24/05/2022",10,6,38309,99729,1850195
1086,"15/09/2019","16/09/2019",1484,1,77584,86219,1769043
1087,"11/06/2015","12/06/2015",184,6,70557,96381,1582162
1089,"18/04/2019","19/04/2019",53,7,91193,34225,1364052
1090,"12/05/2019","13/05/2019",1052,1,95571,64937,1041953
1092,"08/06/2019","08/06/2019",1915,2,64689,57669,1516846
1093,"12/01/2015","12/01/2015",1889,4,52434,85203,1529257
1095,"","",901,7,94542,53618,1568008
1096,"15/01/2019","15/01/2019",696,6,49031,43565,1769794
1097,"","",1854,2,86460,63587,1742630
1098,"","",1664,4,46881,57768,1832398
1099,"10/01/2016","11/01/2016",1769,3,76795,58464,1241823
1100,"","",1330,7,88414,69496,1839948
1101,"14/05/2016","14/05/2016",313,6,32256,99584,1593783
1102,"15/11/2021","16/11/2021",345,5,64074,66952,1638579
1103,"21/07/2017","22/07/2017",149,3,98412,64469,1638269
1104,"05/03/2021","05/03/2021",1624,5,76469,86830,1467377
1106,"11/11/2016","12/11/2016",1034,6,52942,58357,1569702
1107,"09/04/2021","09/04/2021",1850,5,79806,36644,1637996
1108,"21/07/2016","22/07/2016",999,3,47120,58345,1875013
1109,"28/12/2020","29/12/2020",1891,6,33587,50582,1157724
1112,"03/12/2019","04/12/2019",1850,4,66508,79999,1643062
1113,"01/02/2017","02/02/2017",1188,1,44096,67207,1988594
1114,"19/11/2015","19/11/2015",1528,5,66549,73678,1921569
1115,"29/05/2016","29/05/2016",859,5,39458,38727,1519817
1116,"11/12/2020","12/12/2020",125,6,41424,87629,1558449
1118,"","",1462,1,60809,91841,1495952
1119,"16/09/2019","16/09/2019",1267,6,86724,39807,1520229
1120,"11/08/2019","11/08/2019",363,6,85481,79169,1598553
1121,"02/03/2022","02/03/2022",860,2,42746,60543,1936244
1122,"22/10/2022","22/10/2022",633,7,71626,61692,1629817
1123,"19/12/2018","19/12/2018",457,4,73978,53739,1749165
1124,"05/10/2022","06/10/2022",2023,6,38655,40971,1412379
1125,"01/01/2019","01/01/2019",528,2,36570,36646,1373707
1126,"04/07/2015","05/07/2015",1818,6,96221,83018,1291753
1128,"06/02/2022","07/02/2022",695,3,40960,61533,1383787
1129,"22/10/2016","22/10/2016",1062,7,97268,53552,1221453
1130,"25/04/2017","26/04/2017",537,2,53057,75089,1197302
1132,"05/01/2016","05/01/2016",1099,7,67940,80550,1631146
1133,"12/12/2015","13/12/2015",742,4,41014,32875,1629173
1134,"19/10/2022","20/10/2022",421,2,83234,44414,1059026
1135,"10/04/2019","11/04/2019",1882,3,31687,83314,1920990
1136,"08/11/2017","08/11/2017",1749,7,94484,52395,1256978
1137,"02/09/2018","03/09/2018",751,6,38562,77403,1226395
1139,"09/11/2022","09/11/2022",2045,7,84102,91758,1479953
1140,"11/08/2020","12/08/2020",1341,7,84311,74442,1591896
1141,"14/12/2017","15/12/2017",438,4,49770,49247,1468581
1142,"","",1822,4,98019,33479,1601225
1144,"28/01/2022","28/01/2022",1160,3,50317,57267,1580120
1145,"","",2058,3,55532,38825,1774560
1147,"27/02/2015","27/02/2015",1785,5,49326,82768,1665307
1148,"05/07/2016","05/07/2016",835,2,72186,63701,1132616
1149,"05/09/2016","06/09/2016",371,3,32608,74480,1690610
1150,"19/02/2019","20/02/2019",1070,7,62406,60712,1498042
1151,"","",1154,4,60256,58412,1879296
1152,"13/07/2018","14/07/2018",18,4,66852,30924,1088535
1153,"24/01/2015","25/01/2015",323,1,66507,61982,1021026
1154,"","",1994,2,43603,89910,1490098
1155,"11/06/2015","12/06/2015",1961,4,87912,62829,1264179
1156,"16/02/2020","16/02/2020",1251,4,47892,35220,1931368
1157,"12/06/2018","13/06/2018",56,3,65078,58825,1879754
1158,"","",587,4,80565,97038,1302855
1159,"27/08/2015","28/08/2015",2001,5,95111,33301,1556718
1160,"","",1743,6,35704,50825,1032702
1161,"27/12/2016","28/12/2016",1261,5,83309,70833,1169179
1162,"","",1949,3,77207,75598,1226394
1165,"26/09/2018","27/09/2018",419,2,99819,51794,1152167
1167,"30/05/2020","31/05/2020",1378,7,93602,56795,1189040
1168,"22/10/2015","23/10/2015",2074,6,73523,79812,1235964
1169,"08/08/2018","08/08/2018",258,6,87849,35682,1946758
1170,"02/07/2020","03/07/2020",2086,1,94693,48085,1910427
1171,"","",1510,4,43218,83162,1708035
1172,"","",1556,6,65698,47443,1120808
1173,"27/01/2021","27/01/2021",436,6,55951,90742,1488390
1174,"23/01/2020","23/01/2020",1324,3,93171,51502,1783039
1175,"13/09/2021","14/09/2021",204,4,88459,89289,1439572
