"ID","AIRLANE_NAME","HEIGHT","LENGHT","WINGSPAN","WEIGHT","MAX_SPEED","MAX_WEIGHT","TOTAL_SEATS_ECO","TOTAL_SEATS_BUS","FUEL_CAPACITY","PRODUCTION_YEAR"
2958,"Scoot",31,56,52,58,888,174,540,756,22,1993
2959,"Asiana Airlines",21,97,64,100,1068,198,454,635,13,1984
2960,"Norwegian",21,62,77,73,1026,115,195,273,18,1985
2961,"Buta Airways",23,109,75,55,852,228,803,1124,12,1989
2962,"Air Malta",39,116,35,85,1154,157,338,473,10,1980
2963," Austrian Airlines",31,110,69,102,923,220,548,767,11,2002
2964,"Copa Airlines",30,72,66,52,884,137,398,557,20,1980
2965,"Delta Air Lines",35,100,65,56,1250,148,430,602,11,2014
2966,"JetSmart",22,85,49,66,1101,171,490,686,6,1990
2967,"Air Transat",27,100,45,119,820,222,478,669,22,1986
2968,"Royal Brunei Airlines",37,55,70,99,1295,166,311,435,17,2016
2969,"Iberia",39,61,53,105,1010,167,291,407,8,2010
2970,"KLM Royal Dutch Airlines",27,53,33,107,1174,181,347,485,15,1993
2971,"EVA Air",27,76,49,81,1063,234,712,996,9,1985
2972,"Garuda Indonesia",37,103,36,107,1085,282,811,1135,6,2018
2973,"Buta Airways",22,79,64,118,936,181,292,408,21,2008
2974,"Jet2.com",26,109,74,103,937,242,648,907,6,2011
2975,"Avianca",24,62,73,59,1284,167,502,702,13,1992
2976,"South African Airways",23,106,71,54,898,141,405,567,19,2006
2977,"Jetstar Asia",39,87,44,97,1126,134,173,242,10,1985
2978,"Air Transat",29,68,33,79,1109,230,700,980,16,2019
2979,"Virgin Atlantic",40,98,60,115,1213,206,422,590,9,2009
2980,"Rex Airlines",26,56,67,64,929,216,707,989,10,2014
2981," Austrian Airlines",21,95,75,51,1274,90,184,257,5,1981
2982,"American Airlines",31,86,63,55,1230,126,329,460,17,1980
2983,"Air Serbia",31,87,76,60,1182,132,334,467,5,1999
2984,"Quatar Airways",22,52,73,55,1105,211,726,1016,8,2009
2985,"Peach",39,111,53,115,1115,277,750,1050,24,1990
2986,"Copa Airlines",24,99,70,92,916,153,286,400,7,2008
2987,"Ethiopian Airlines",40,68,30,74,1112,122,225,315,15,1983
2988,"Azerbaijan Airlines",30,69,34,52,938,223,792,1108,10,1988
2989,"Aer Lingus",27,61,47,59,1240,176,543,760,19,2016
2990,"Air France",28,103,36,112,801,186,345,483,10,1999
2991,"airBaltic",36,72,74,109,1154,195,400,560,5,2002
2992,"Vietnam Airlines",40,52,42,64,1103,244,838,1173,8,2014
2993,"LOT",37,109,32,96,966,286,882,1234,18,2008
2994,"Ethiopian Airlines",34,60,49,86,1100,146,282,394,4,1988
2995,"Turkish Airlines",37,83,63,75,1145,188,526,736,5,2021
2996,"Alaska Airlines",37,54,75,71,1147,252,839,1174,20,2004
2997,"Aer Lingus",40,98,39,66,1250,171,488,683,15,1999
2998,"Bangkok Airways",30,118,63,120,1238,184,299,418,5,1986
2999,"Ethiopian Airlines",24,56,61,62,1174,151,414,579,7,1985
3000,"Bangkok Airways",35,68,76,108,1187,279,796,1114,24,1991
3001,"Swiss International Air Lines",37,61,65,78,1021,155,360,504,5,2010
3002,"WestJet",39,78,52,94,1136,279,858,1201,5,2006
3003,"Air Astana",27,68,35,119,940,229,510,714,10,2009
3004,"Kenya Airways",36,57,43,107,1215,179,338,473,10,2001
3005,"Vietnam Airlines",22,110,56,114,1168,303,875,1225,16,2001
3006,"Swiss International Air Lines",28,97,74,115,903,255,650,910,9,2008
3007,"SAS Scandinavian",36,69,48,112,992,156,205,287,22,2015
3008,"Air Canada rouge",31,63,61,88,847,157,322,450,12,2019
3009,"Buta Airways",26,104,47,83,1121,245,754,1055,7,2004
3010,"Oman Air",38,73,76,110,859,257,681,953,19,2011
3011,"Vietnam Airlines",23,89,78,90,1113,174,393,550,8,2010
3012,"KLM Royal Dutch Airlines",38,81,76,60,1215,214,717,1003,17,1989
3013,"LOT",36,60,52,69,823,156,406,568,10,2008
3014,"Jet2.com",32,111,52,94,1247,180,400,560,23,1986
3015,"China Airlines",37,66,40,108,1111,193,397,555,11,2021
3016,"Azerbaijan Airlines",28,54,60,54,1223,171,542,758,19,1987
3017,"Avianca",37,62,69,55,1128,92,173,242,8,2016
3018,"Vueling Airlines",36,71,72,56,981,124,316,442,15,2021
3019," Austrian Airlines",24,110,58,116,1006,152,168,235,16,2014
3020,"LATAM",20,58,71,52,1299,121,321,449,15,2017
3021,"Vistara",37,115,65,114,828,269,718,1005,16,1987
3022,"Quatar Airways",22,57,66,63,821,234,793,1110,7,2019
3023,"Emirates",39,83,75,114,1188,301,869,1216,23,2002
3024,"LOT",39,109,78,106,1075,211,489,684,12,2016
3025,"Azul Airlines",25,52,38,81,1002,183,477,667,23,2016
3026,"Thai Airways",36,58,53,85,1166,148,293,410,21,2002
3027,"SAS Scandinavian",39,63,52,97,1029,181,391,547,11,1998
3028,"Ethiopian Airlines",24,118,62,56,1200,104,223,312,7,2004
3029,"Rex Airlines",38,62,52,66,877,215,691,967,10,2013
3030,"Oman Air",40,111,69,93,1297,201,502,702,5,1985
3031,"Peach",26,96,43,68,1050,137,322,450,9,1999
3032,"Thai Airways",35,106,65,54,1192,207,709,992,15,1999
3033,"Southwest Airlines",22,120,42,115,901,258,663,928,5,1997
3034,"British Airways",35,107,53,71,824,211,650,910,19,1989
3035,"China Airlines",26,113,30,119,1067,244,582,814,11,2011
3036,"Thai Airways",38,97,62,115,1193,156,192,268,25,1992
3037," Aegean Airlines",30,94,61,59,917,241,846,1184,19,2000
3038,"Alaska Airlines",34,103,37,82,1002,271,875,1225,24,2005
3039,"LEVEL",36,88,78,78,919,219,657,919,23,2013
3040,"Swiss International Air Lines",25,77,72,107,854,175,317,443,7,2022
3041,"American Airlines",40,71,65,84,1198,141,265,371,4,2018
3042,"Air New Zealand",28,99,63,86,1043,144,269,376,12,2019
3043,"EVA Air",30,111,60,79,1112,256,822,1150,20,1992
3044,"British Airways",29,91,53,97,1102,289,893,1250,8,1981
3045," Gulf Air",22,118,31,113,1125,265,707,989,6,1999
3046,"Buta Airways",22,114,72,88,1095,133,209,292,24,1990
3047,"Azul Airlines",27,57,66,111,1201,209,456,638,12,2006
3048," Aegean Airlines",38,94,39,57,910,99,195,273,6,1998
3049,"Malaysia Airlines",39,72,51,114,926,296,846,1184,5,2017
3050,"Air Astana",31,115,67,79,1083,250,792,1108,22,1998
3051," Aegean Airlines",26,58,70,87,1239,229,659,922,5,2017
3052,"Air Mauritius",36,55,34,70,982,152,383,536,17,2006
3053," Austrian Airlines",35,100,76,115,907,224,505,707,19,2003
3054,"American Airlines",35,97,68,97,1007,241,668,935,17,1989
3055,"Iberia",37,97,57,60,1290,231,793,1110,21,1980
3056,"Vietnam Airlines",39,61,41,61,929,189,595,833,12,1985
3057,"Aer Lingus",33,61,38,54,1069,115,285,399,17,1998
3058,"Korean Air",29,84,35,100,1138,227,592,828,5,2011
3059,"Royal Brunei Airlines",29,116,67,84,884,220,630,882,22,1981
3060,"TAP Portugal",38,105,61,51,921,186,626,876,13,2002
3061,"Royal Air Maroc",28,66,43,54,1073,159,487,681,24,2019
3062,"China Southern Airlines",33,85,45,55,1064,191,633,886,9,1986
3063,"Air New Zealand",33,60,65,84,1041,221,639,894,23,2011
3064,"Azerbaijan Airlines",29,62,36,65,1265,169,483,676,22,2016
3065,"Jetstar Asia",22,64,37,107,1032,267,744,1041,12,1983
3066,"ITA Airways",31,91,50,115,858,177,288,403,11,2001
3067,"Royal Brunei Airlines",37,60,73,103,848,161,273,382,6,1985
3068,"Southwest Airlines",29,96,62,98,1032,251,712,996,15,1990
3069,"EasyJet",24,109,67,64,920,129,305,427,20,2018
3070,"Citilink",30,50,61,81,1028,171,420,588,21,2006
3071,"KLM Royal Dutch Airlines",40,112,67,71,1015,247,815,1141,20,1994
3072,"Finnair",29,96,71,92,918,256,763,1068,20,2005
3073,"Royal Air Maroc",20,75,77,90,1059,212,565,791,16,1993
3074,"Air Astana",25,111,41,53,1279,242,878,1229,5,1999
3075,"LEVEL",33,85,53,97,1224,200,478,669,5,1993
3076,"Jetstar Asia",39,67,32,89,1094,162,342,478,17,1997
3077,"Air Malta",35,113,71,111,1165,301,880,1232,24,2014
3078,"Turkish Airlines",37,65,77,109,982,164,259,362,20,2003
3079,"ANA All Nippon Airways",23,93,73,86,1095,245,737,1031,14,2007
3080,"Singapore Airlines",25,79,59,63,939,166,481,673,10,2011
3081,"WestJet",34,107,63,103,913,179,354,495,22,2018
3082,"China Southern Airlines",28,101,47,85,952,170,394,551,14,2002
3083,"Oman Air",26,107,79,93,1214,153,282,394,7,1990
3084,"Singapore Airlines",25,78,45,102,1089,286,856,1198,21,1981
3085,"Vistara",21,91,66,110,890,248,640,896,24,1983
3086,"Royal Brunei Airlines",34,92,46,82,1113,164,384,537,15,1999
3087,"Air Dolomiti",26,97,75,93,808,185,429,600,20,2001
3088,"Brussels Airlines",35,78,39,73,924,213,650,910,13,2021
3089,"Air Arabia",35,89,48,82,841,228,677,947,22,2001
3090,"Emirates",24,52,79,78,1188,156,363,508,20,2005
3091,"American Airlines",35,108,71,120,1142,181,283,396,18,1996
3092,"Cathay Pacific Airways",22,71,33,75,990,150,351,491,7,2002
3093,"Wizz Air",25,115,49,111,1200,237,584,817,23,1995
3094,"Royal Air Maroc",27,80,54,107,962,148,191,267,7,2020
3095,"Wizz Air",30,90,67,109,1107,252,666,932,5,2000
3096,"SAS Scandinavian",31,77,40,79,1072,235,727,1017,24,2008
3097,"Eurowings",27,109,75,109,1279,283,809,1132,6,1984
3098,"SunExpress",37,85,47,82,909,203,564,789,9,1988
3099,"JetSmart",26,58,38,119,914,253,622,870,9,2002
3100,"Flynas",31,99,63,113,1238,254,653,914,20,2010
3101,"Avianca",23,93,37,51,1029,122,332,464,17,2016
3102,"SAS Scandinavian",33,99,75,70,891,211,656,918,14,2016
3103,"TAP Portugal",24,107,68,87,866,149,289,404,17,1999
3104,"AirAsia",27,97,35,93,1182,183,421,589,19,2001
3105,"Ryanair",34,61,51,105,931,236,611,855,5,2019
3106,"Quatar Airways",21,97,59,58,1021,125,311,435,15,1981
3107,"Oman Air",26,77,63,51,851,165,528,739,18,2015
3108,"Philippine Airlines",22,111,70,93,1297,244,700,980,18,2021
3109,"Air Mauritius",21,110,38,55,1280,197,660,924,7,1989
3110,"Sky Airline",30,97,56,84,855,208,575,805,11,2013
3111,"Copa Airlines",38,116,69,58,1153,121,292,408,16,1985
3112,"Vistara",34,69,59,82,929,232,695,973,22,2018
3113,"Air France",31,96,74,109,1217,158,230,322,6,1990
3114,"Turkish Airlines",27,110,78,85,1092,241,725,1015,5,2014
3115,"Southwest Airlines",36,112,78,84,800,146,291,407,6,2012
3116,"China Southern Airlines",28,98,76,96,1052,235,646,904,21,2003
3117,"Virgin Atlantic",27,107,32,90,839,251,749,1048,12,1995
3118,"Southwest Airlines",21,79,75,97,1162,193,446,624,8,2014
3119,"LEVEL",29,84,65,77,1169,258,840,1176,5,1999
3120,"United Airlines",22,72,44,118,1200,189,332,464,15,2008
3121,"Kenya Airways",33,73,51,55,858,154,463,648,25,1986
3122,"Air Dolomiti",28,88,63,87,1211,133,214,299,9,1996
3123,"Lufthansa",22,118,47,64,1032,227,756,1058,10,2022
3124,"Korean Air",30,105,66,53,1172,186,620,868,20,1985
3125,"Swiss International Air Lines",21,101,61,66,1249,216,699,978,18,2016
3126,"SAS Scandinavian",21,94,32,99,1178,207,500,700,18,1982
3127,"United Airlines",38,81,57,79,1136,142,293,410,10,2010
3128,"JetSmart",37,53,74,90,1060,180,418,585,15,1993
3129,"Air Mauritius",22,61,60,116,914,287,795,1113,22,2010
3130,"JetSmart",31,64,31,92,1081,208,538,753,11,2000
3131,"JetBlue Airways",38,64,35,89,1202,215,588,823,8,1992
3132,"Turkish Airlines",40,50,40,107,1205,262,721,1009,6,1996
3133,"Korean Air",33,69,76,103,891,226,573,802,23,1984
3134,"ANA All Nippon Airways",37,54,79,102,1006,276,810,1134,22,1987
3135,"LATAM",23,104,46,85,1070,208,573,802,19,2003
3136,"LOT",27,119,47,58,1259,165,496,694,8,2012
3137,"Virgin Atlantic",29,60,48,112,1256,192,374,523,19,2015
3138,"Citilink",34,108,42,78,1036,174,448,627,15,2000
3139,"TAP Portugal",25,87,53,80,860,161,376,526,7,2008
3140,"Brussels Airlines",28,110,74,73,1018,112,185,259,5,2014
3141,"United Airlines",35,120,35,97,1202,184,405,567,24,2020
3142,"Copa Airlines",33,111,46,107,1217,176,320,448,23,2021
3143,"Air New Zealand",28,57,62,108,1173,218,511,715,9,1992
3144,"Eurowings",37,103,67,97,1038,147,234,327,16,2010
3145,"Citilink",30,118,38,57,1098,196,646,904,15,2009
3146,"TUI Airways",31,66,42,71,962,148,359,502,5,2012
3147,"IndiGo",27,106,43,57,1298,109,244,341,16,1988
3148,"Aer Lingus",35,51,58,107,1239,213,495,693,6,1985
3149,"Copa Airlines",22,89,35,92,996,258,773,1082,19,2018
3150,"SunExpress",27,97,30,79,1202,235,726,1016,7,1998
3151,"Ethiopian Airlines",21,108,41,61,1274,115,253,354,15,1989
3152,"Flynas",39,55,72,88,1102,195,497,695,23,1999
3153,"Royal Brunei Airlines",35,98,79,107,1108,262,721,1009,21,1990
3154,"KLM Royal Dutch Airlines",26,91,79,80,950,128,224,313,24,1991
3155,"Virgin Australia",21,87,38,87,965,161,343,480,21,1984
3156,"Vistara",33,79,77,80,890,114,159,222,5,2000
3157,"China Airlines",22,118,52,59,1068,162,481,673,21,2015
3158,"Air New Zealand",40,115,46,74,1253,132,271,379,11,1981
3159,"Brussels Airlines",21,93,64,66,855,254,874,1223,4,1991
3160," Air Canada",29,66,30,105,1220,212,496,694,9,2018
3161,"Norwegian",32,85,38,116,1056,155,183,256,19,1983
3162,"Air Arabia",33,98,80,65,1055,203,641,897,24,1994
3163,"ANA All Nippon Airways",27,59,38,59,888,165,493,690,10,1983
3164,"Philippine Airlines",32,117,65,89,939,130,194,271,20,1989
3165,"EasyJet",37,94,48,77,868,258,840,1176,8,2009
3166,"Air Malta",22,78,55,111,971,255,667,933,8,2012
3167,"WestJet",36,98,60,97,902,280,850,1190,14,1999
3168,"Azul Airlines",21,50,72,76,923,170,439,614,20,2003
3169,"Peach",25,106,43,113,915,152,182,254,17,1991
3170,"China Southern Airlines",29,65,43,61,900,111,234,327,15,2003
3171,"Eurowings",27,101,65,60,1195,187,592,828,6,2015
3172,"Garuda Indonesia",24,119,54,68,993,136,319,446,18,2017
3173,"Asiana Airlines",29,66,30,83,957,265,844,1181,19,1996
3174,"Kuwait Airways",29,57,39,54,1183,134,371,519,24,2010
3175,"LOT",31,74,74,82,1067,244,751,1051,8,1989
3176,"Air Arabia",31,119,69,110,915,295,858,1201,12,2001
3177,"Garuda Indonesia",30,61,69,54,995,111,266,372,15,1984
3178,"JetBlue Airways",21,114,53,115,1120,184,323,452,22,2010
3179,"Hong Kong Airlines",32,100,54,111,1193,233,568,795,17,2017
3180,"SunExpress",25,71,74,118,1001,227,509,712,20,2011
3181,"Royal Brunei Airlines",24,65,50,55,972,87,152,212,6,2017
3182,"AirAsia",38,51,60,110,1214,251,656,918,13,2017
3183,"LOT",33,80,65,106,1121,191,395,553,14,1990
3184,"Japan Airlines",29,81,56,67,953,242,811,1135,8,1982
3185,"Garuda Indonesia",24,99,69,117,998,307,883,1236,12,2015
3186,"Southwest Airlines",36,104,34,92,981,159,314,439,7,1988
3187,"Iberia",24,59,77,56,811,169,527,737,8,2001
3188,"Wizz Air",27,112,48,101,1225,231,605,847,19,2003
3189,"Avianca",37,82,67,93,1164,133,188,263,14,1983
3190,"TUI Airways",30,65,68,60,922,242,844,1181,20,2018
3191,"Air Astana",26,111,64,105,922,142,173,242,9,1996
3192,"Citilink",20,99,47,61,903,200,647,905,15,1985
3193,"Finnair",23,62,55,77,1025,213,630,882,17,2013
3194,"Jet2.com",38,61,76,71,897,216,673,942,4,1998
3195,"Virgin Australia",31,105,40,104,1187,195,425,595,15,2002
3196,"Vietnam Airlines",35,58,33,114,801,148,162,226,19,2021
3197,"Peach",35,79,69,113,1011,156,203,284,19,2004
3198,"Vistara",38,56,35,52,1193,245,897,1255,12,1997
3199,"Air New Zealand",23,68,71,113,943,196,387,541,12,2018
3200,"airBaltic",20,52,38,107,1071,198,422,590,12,2010
3201,"Korean Air",37,63,35,63,1229,126,295,413,23,1983
3202,"IndiGo",26,80,61,86,1196,127,193,270,14,2003
3203,"Emirates",27,61,61,62,1122,185,573,802,17,1997
3204,"Ethiopian Airlines",40,94,46,90,902,271,839,1174,14,2004
3205,"Oman Air",38,101,44,73,1239,206,619,866,24,2021
3206,"Copa Airlines",36,55,51,60,1220,183,571,799,11,2021
3207,"Vueling Airlines",30,112,38,73,1149,199,588,823,22,2007
3208,"Korean Air",34,65,38,93,862,257,762,1066,20,2022
3209,"Quatar Airways",35,107,57,81,1085,168,407,569,9,2018
3210," Qantas Airways",31,114,59,117,990,216,459,642,8,2018
3211,"Jet2.com",22,111,38,107,944,173,306,428,13,1994
3212," Austrian Airlines",35,79,65,88,1105,166,365,511,20,1986
3213,"JetBlue Airways",25,70,56,103,1053,202,461,645,4,2021
3214,"JetSmart",30,82,40,107,1297,205,456,638,9,1998
3215,"Saudi Arabian Airlines",26,69,42,70,1217,189,555,777,5,2003
3216,"Jet2.com",32,107,46,75,888,223,687,961,11,2008
3217,"Singapore Airlines",21,99,52,59,1213,174,536,750,24,2020
3218,"Alaska Airlines",39,55,30,87,1089,214,590,826,12,2000
3219,"Air Canada rouge",35,92,62,86,1067,167,375,525,5,2013
3220,"American Airlines",37,118,79,77,1101,218,657,919,8,1986
3221,"American Eagle",28,68,74,109,1290,160,240,336,20,1993
3222,"Bangkok Airways",31,73,54,77,1045,216,644,901,10,2022
3223,"Hong Kong Airlines",36,97,72,85,958,159,345,483,14,1988
3224,"Singapore Airlines",30,109,74,114,978,154,188,263,22,1989
3225,"Cathay Pacific Airways",26,56,51,60,1154,130,328,459,16,2007
3226,"Citilink",38,112,46,104,1087,267,758,1061,17,1996
3227,"Air Mauritius",32,111,55,50,1296,218,778,1089,12,2011
3228,"airBaltic",29,75,59,88,1210,171,386,540,15,2007
3229,"Alaska Airlines",24,95,42,114,916,296,844,1181,6,1991
3230,"Scoot",21,63,66,84,935,140,263,368,6,2004
3231,"Copa Airlines",38,98,62,119,947,244,581,813,7,2001
3232,"ITA Airways",31,53,39,108,855,212,486,680,21,1999
3233,"LATAM",29,97,40,88,1108,252,760,1064,23,1997
3234,"Asiana Airlines",23,118,39,107,834,169,288,403,13,1985
3235,"Peach",23,109,40,112,862,267,720,1008,9,2010
3236,"Virgin Australia",33,83,67,75,1224,228,711,995,24,1997
3237,"LOT",33,105,49,66,861,239,805,1127,18,1997
3238,"Air Dolomiti",37,107,74,67,1276,199,612,856,12,2019
3239,"Finnair",35,54,46,61,1204,129,315,441,5,2012
3240,"AirAsia",29,116,63,109,1040,202,433,606,17,1989
3241,"Air New Zealand",33,61,35,104,908,198,439,614,12,2018
3242,"Jetstar Asia",32,118,50,96,893,148,241,337,22,1987
3243,"Aer Lingus",24,82,35,114,1212,239,583,816,18,1988
3244,"Avianca",34,109,72,101,808,190,413,578,24,1984
3245,"Malaysia Airlines",36,52,56,83,1078,133,232,324,18,2021
3246,"United Airlines",20,104,46,66,985,161,440,616,22,1989
3247,"Virgin Atlantic",26,118,66,82,952,257,814,1139,14,2006
3248,"Delta Air Lines",20,103,60,117,1105,262,674,943,13,1998
3249,"Singapore Airlines",32,84,75,118,1032,199,378,529,20,2020
3250,"Azul Airlines",35,111,42,80,869,240,741,1037,23,2004
3251,"IndiGo",38,119,74,89,1188,216,591,827,19,1998
3252,"Air New Zealand",30,67,45,120,1137,225,487,681,8,2004
3253,"flyDubai",25,54,64,115,887,247,613,858,4,1986
3254,"American Airlines",24,108,66,51,1084,177,586,820,13,2009
3255,"Azul Airlines",36,76,76,52,1027,207,722,1010,12,2005
3256,"China Airlines",36,112,59,86,1050,276,884,1237,17,1981
3257,"China Eastern Airlines",21,100,33,113,977,201,409,572,14,2016
3258," Aegean Airlines",28,92,74,76,1098,129,247,345,17,1989
3259,"Air France",35,56,77,94,842,169,351,491,18,2009
3260,"Air Mauritius",30,75,49,58,1130,149,424,593,15,2018
3261," Austrian Airlines",20,61,38,100,841,250,699,978,12,1980
3262,"TAP Portugal",30,104,44,96,1108,270,810,1134,11,2015
3263," Hainan Airlines",30,78,37,82,1294,190,503,704,23,2003
3264,"Malaysia Airlines",32,83,64,73,1053,240,775,1085,24,1998
3265,"Citilink",28,112,44,77,1031,264,867,1213,9,1980
3266,"SAS Scandinavian",21,101,39,62,1269,210,688,963,10,1991
3267,"Air Canada rouge",23,54,33,85,1241,253,779,1090,22,2014
3268,"Air Mauritius",40,119,67,111,1091,176,304,425,10,1990
3269,"Southwest Airlines",31,117,77,102,1119,150,223,312,7,2015
3270,"ITA Airways",28,66,67,53,1133,223,790,1106,24,1987
3271,"Thai Airways",35,108,37,94,1142,209,533,746,24,1998
3272,"Korean Air",36,78,52,80,1097,254,809,1132,14,2004
3273,"Lufthansa",35,113,79,91,891,224,620,868,19,1983
3274,"Royal Air Maroc",29,78,33,75,882,268,895,1253,5,2015
3275,"SAS Scandinavian",27,57,35,115,1085,268,711,995,21,2019
3276,"China Airlines",23,58,37,94,1143,160,306,428,15,1998
3277,"Air Canada rouge",27,97,63,106,844,288,843,1180,11,1990
3278,"Air Mauritius",31,52,64,59,1074,112,248,347,18,1986
3279,"Vueling Airlines",31,95,70,110,1090,145,164,229,4,1981
3280,"Norwegian",26,66,52,118,947,183,305,427,12,2007
3281," Gulf Air",28,118,66,56,1287,143,407,569,7,2001
3282,"WestJet",32,107,74,77,1063,267,882,1234,9,1997
3283,"Jetstar Asia",36,108,38,71,1060,103,150,210,12,2017
3284," Gulf Air",39,54,58,103,1006,222,552,772,20,1996
3285,"Flynas",36,95,40,100,1212,290,881,1233,24,2006
3286,"LOT",38,113,55,94,1137,268,810,1134,22,1985
3287,"Jet2.com",24,120,37,84,855,125,192,268,15,1990
3288,"Ryanair",30,59,51,82,1211,139,266,372,7,2013
3289,"SAS Scandinavian",30,61,53,69,1079,152,387,541,7,1997
3290,"TAP Portugal",24,85,57,90,952,207,543,760,12,1994
3291,"South African Airways",28,118,42,57,1165,188,607,849,24,2016
3292,"Avianca",30,91,42,84,1290,163,370,518,20,2019
3293,"Azul Airlines",25,74,62,73,1164,186,524,733,9,1991
3294,"Korean Air",38,113,45,70,857,244,806,1128,9,1993
3295,"British Airways",22,54,64,64,1058,169,487,681,9,1995
3296,"LOT",28,85,73,77,859,165,410,574,12,1986
3297,"Delta Air Lines",23,91,53,62,1001,189,590,826,8,1983
3298,"TUI Airways",30,62,66,66,996,221,718,1005,12,1997
3299,"Swiss International Air Lines",28,60,49,61,1013,181,557,779,20,2020
3300,"Vistara",38,117,55,112,874,173,283,396,12,1981
3301,"Azerbaijan Airlines",31,100,61,86,1177,125,182,254,22,2001
3302,"Peach",39,85,75,118,1182,307,878,1229,18,2021
3303,"Quatar Airways",34,91,60,83,1253,158,352,492,9,1986
3304,"Garuda Indonesia",21,109,44,120,1156,211,423,592,12,2016
3305,"Avianca",30,70,59,84,1007,128,206,288,21,1994
3306,"Rex Airlines",39,78,34,78,1036,111,154,215,12,2018
3307,"Air Transat",25,83,32,107,1175,149,198,277,24,1983
3308,"Virgin Atlantic",31,107,66,111,1111,262,703,984,8,1993
3309,"Southwest Airlines",40,80,37,69,1185,160,424,593,6,2008
3310,"South African Airways",23,120,74,66,961,214,686,960,21,2005
3311,"ANA All Nippon Airways",25,116,39,87,971,124,173,242,14,2007
3312,"Saudi Arabian Airlines",27,108,77,67,1001,249,845,1183,18,2020
3313,"Ryanair",24,86,55,66,1124,145,366,512,15,2010
3314,"ITA Airways",33,95,74,70,855,185,534,747,8,1986
3315,"Eurowings",30,108,64,89,831,203,529,740,4,1987
3316,"Quatar Airways",27,104,46,84,853,253,784,1097,15,2012
3317,"Alaska Airlines",27,72,60,98,1201,148,232,324,21,1991
3318,"Turkish Airlines",28,115,58,115,872,179,297,415,10,2011
3319,"Korean Air",30,73,66,100,850,186,399,558,13,1987
3320,"American Eagle",22,118,47,112,980,158,214,299,22,2002
3321," Qantas Airways",34,83,64,56,898,231,811,1135,14,1997
3322,"Korean Air",24,83,47,76,827,217,655,917,11,2008
3323,"Royal Brunei Airlines",39,61,44,79,808,141,291,407,25,2013
3324,"Air Dolomiti",38,74,42,80,923,258,825,1155,14,2022
3325,"China Airlines",31,87,66,96,907,178,383,536,20,1990
3326,"Wizz Air",26,65,57,102,1092,145,203,284,6,1986
3327,"British Airways",39,105,32,85,1117,241,724,1013,7,2017
3328," Aegean Airlines",25,89,59,56,1181,158,476,666,25,1983
3329,"Air Dolomiti",25,78,78,71,1113,149,365,511,15,2016
3330,"China Eastern Airlines",36,86,35,97,1034,215,548,767,23,1988
3331,"Peach",40,57,75,96,1054,262,769,1076,14,2005
3332,"JetSmart",33,96,73,108,1291,212,483,676,16,1989
3333,"Royal Air Maroc",25,84,51,106,842,189,387,541,16,1990
3334,"China Eastern Airlines",26,69,77,54,918,165,515,721,21,2021
3335,"Air Arabia",39,81,79,88,885,164,353,494,18,1994
3336,"Sky Airline",22,101,45,84,910,130,214,299,22,1996
3337,"Turkish Airlines",28,110,39,116,1148,277,747,1045,21,2012
3338,"IndiGo",35,94,64,78,1251,267,877,1227,13,1988
3339,"Virgin Atlantic",25,51,59,120,1081,205,397,555,19,1999
3340,"SunExpress",31,97,52,100,1116,230,603,844,14,2013
3341,"Air Malta",37,87,75,76,1183,179,478,669,19,2007
3342,"KLM Royal Dutch Airlines",40,88,40,100,1239,142,196,274,18,1988
3343,"Peach",35,101,61,65,851,160,443,620,22,2008
3344,"Japan Airlines",38,94,79,93,1227,172,369,516,8,1996
3345,"ITA Airways",37,66,67,118,857,190,335,469,21,1991
1983,"SunExpress",24,93,53,69,883,232,759,1062,13,1982
1984,"Oman Air",31,89,78,111,1061,190,370,518,22,2002
1985,"Philippine Airlines",36,89,60,77,1273,130,246,344,25,1995
1986,"Aer Lingus",21,98,59,111,1012,249,642,898,10,1988
1987,"United Airlines",21,111,33,118,1283,197,366,512,14,1987
1988," Qantas Airways",38,90,72,83,1079,130,220,308,7,2000
1989,"China Southern Airlines",33,59,58,54,1178,180,586,820,16,2005
1990,"LATAM",38,68,30,116,950,185,321,449,16,2014
1991,"United Airlines",32,96,53,52,920,196,671,939,16,2019
1992," Hainan Airlines",38,65,73,87,1210,196,507,709,20,1987
1993," Austrian Airlines",21,119,61,103,1009,166,296,414,15,2022
1994,"Garuda Indonesia",29,64,59,120,1028,294,806,1128,7,2011
1995,"WestJet",35,115,74,55,887,88,154,215,9,2018
1996,"EasyJet",26,110,31,66,1140,244,827,1157,20,1986
1997,"Southwest Airlines",26,78,32,109,1287,282,804,1125,16,2010
1998,"Asiana Airlines",25,87,66,92,1158,275,850,1190,24,1993
1999,"SunExpress",30,92,50,55,935,240,860,1204,16,2005
2000,"Air Arabia",39,53,38,89,1250,199,513,718,16,2001
2001,"Swiss International Air Lines",24,63,70,97,1007,219,567,793,11,2018
2002,"Thai Airways",25,89,52,80,1131,239,737,1031,13,2000
2003,"Air Canada rouge",31,116,54,109,950,232,573,802,13,2014
2004,"Iberia",21,52,32,54,994,171,542,758,5,1991
2005,"Iberia",33,62,52,62,1197,209,684,957,15,1997
2006,"WestJet",36,116,71,111,1112,294,849,1188,5,2006
2007," Air Canada",23,108,39,69,976,211,662,926,5,1997
2008,"Flynas",29,104,59,116,1028,198,381,533,20,2001
