ID,STATUS,ARRIVAL_COST,DEPARTURE_COST,ARRIVAL_DATE,DEPARTURE_DATE,AIRCRAFT_ID,ROUTE_ID,TOTAL_FUEL_COST
402,WAITING FOR DEPARTURE,65579,36853,,,172,1355,1059132
403,TAKEOFF,87236,85562,08/06/2019,08/06/2019,127,1622,1330638
404,TAKEOFF,50222,84852,18/02/2016,17/02/2016,11,1564,1466175
405,TAKEOFF,90409,75785,04/08/2020,04/08/2020,145,1021,1477168
406,ARRIVED,79630,39801,05/10/2015,04/10/2015,97,239,1536610
407,TAKEOFF,59381,56776,09/05/2021,08/05/2021,108,399,1379635
408,WAITING FOR DEPARTURE,76629,90884,,,95,1884,1668479
409,DELAYED,54469,75085,22/06/2019,22/06/2019,154,948,1211429
410,CANCELLED,76292,46016,,,163,1613,1332585
411,CANCELLED,82051,60392,,,27,62,1845142
412,DELAYED,54931,45321,07/05/2019,07/05/2019,77,1042,1616088
413,ARRIVED,31007,70874,28/02/2020,28/02/2020,43,759,1447456
414,ARRIVED,84936,37837,27/03/2016,27/03/2016,51,987,1387676
415,WAITING FOR DEPARTURE,59166,91785,,,159,1237,1138444
416,CANCELLED,68163,51942,,,62,1009,1304925
417,WAITING FOR DEPARTURE,34667,64476,,,55,258,1182487
418,WAITING FOR DEPARTURE,82260,96266,,,88,895,1583571
419,WAITING FOR DEPARTURE,49619,89622,,,70,1085,1535740
420,CANCELLED,44846,83983,,,156,1385,1352779
421,WAITING FOR DEPARTURE,52894,77633,,,185,1619,1501156
422,DELAYED,59155,32656,26/01/2016,26/01/2016,91,1208,1963659
423,WAITING FOR DEPARTURE,75876,32159,,,69,291,1442696
424,CANCELLED,98015,86511,,,140,646,1416175
425,DELAYED,37161,46768,23/07/2016,23/07/2016,11,1080,1549250
426,ARRIVED,30478,87956,05/10/2020,05/10/2020,149,1084,1899760
427,WAITING FOR DEPARTURE,51831,44762,,,131,56,1933883
428,WAITING FOR DEPARTURE,31609,84241,,,114,518,1858949
429,WAITING FOR DEPARTURE,52850,35262,,,59,379,1222136
430,WAITING FOR DEPARTURE,54193,79246,,,70,6,1581336
431,TAKEOFF,34872,60891,10/10/2017,09/10/2017,144,801,1028862
432,ARRIVED,77105,42391,20/12/2021,19/12/2021,158,79,1230151
433,WAITING FOR DEPARTURE,66492,68506,,,100,772,1971975
434,DELAYED,54438,61495,27/02/2021,27/02/2021,17,2096,1470688
435,TAKEOFF,61592,61568,24/04/2015,23/04/2015,155,1901,1118400
436,CANCELLED,81308,57458,,,25,877,1407106
437,ARRIVED,93804,84534,19/03/2017,19/03/2017,68,72,1068710
438,CANCELLED,67931,69861,,,10,997,1536452
439,DELAYED,36447,36685,29/06/2015,28/06/2015,170,491,1818337
440,TAKEOFF,35351,87037,10/08/2019,09/08/2019,16,1165,1753399
441,TAKEOFF,45985,49922,14/09/2018,14/09/2018,99,132,1305780
442,TAKEOFF,39915,88643,03/03/2016,02/03/2016,101,546,1023050
443,CANCELLED,71763,85484,,,150,883,1588458
444,WAITING FOR DEPARTURE,82832,42368,,,102,598,1732145
445,ARRIVED,70685,94132,22/03/2017,22/03/2017,33,174,1450903
446,CANCELLED,63982,40787,,,50,803,1582228
447,TAKEOFF,63022,97319,03/04/2022,03/04/2022,96,677,1409517
448,DELAYED,95940,88787,26/04/2020,25/04/2020,21,224,1464567
449,WAITING FOR DEPARTURE,35477,57663,,,168,33,1870377
450,DELAYED,30626,65507,22/04/2018,22/04/2018,61,147,1616560
451,TAKEOFF,31005,41570,23/03/2022,22/03/2022,16,1848,1449325
452,TAKEOFF,86950,62675,20/07/2018,19/07/2018,61,2037,1088590
453,WAITING FOR DEPARTURE,82425,69470,,,107,524,1978727
454,TAKEOFF,72947,73351,17/03/2019,17/03/2019,136,2045,1033171
455,WAITING FOR DEPARTURE,43150,39358,,,25,1350,1971999
456,CANCELLED,64921,71947,,,156,1521,1272879
457,TAKEOFF,38723,66562,07/10/2017,07/10/2017,56,2047,1584617
458,CANCELLED,30059,60752,,,184,1214,1483801
459,DELAYED,45110,51264,23/06/2018,22/06/2018,53,1341,1437175
460,WAITING FOR DEPARTURE,45387,65988,,,166,1885,1697780
461,WAITING FOR DEPARTURE,85205,65393,,,131,1746,1446990
462,ARRIVED,43092,48165,22/03/2015,22/03/2015,92,209,1163077
463,TAKEOFF,39194,58485,02/06/2022,02/06/2022,59,741,1844179
464,CANCELLED,65368,33438,,,119,1617,1589183
465,WAITING FOR DEPARTURE,49041,40469,,,170,261,1883385
466,CANCELLED,59909,42996,,,87,457,1087792
467,DELAYED,58516,59612,10/07/2022,09/07/2022,131,1496,1861691
468,WAITING FOR DEPARTURE,78760,59508,,,168,630,1145152
469,DELAYED,63953,54840,11/03/2019,10/03/2019,127,1995,1642188
470,WAITING FOR DEPARTURE,36279,84832,,,69,1862,1370799
471,WAITING FOR DEPARTURE,55298,56914,,,32,446,1632375
472,WAITING FOR DEPARTURE,58585,41825,,,180,2026,1087859
473,CANCELLED,62288,30208,,,123,761,1090398
474,TAKEOFF,63767,59479,14/06/2021,14/06/2021,164,582,1304394
475,ARRIVED,90512,34566,11/10/2021,11/10/2021,114,734,1220370
476,ARRIVED,54619,95060,17/10/2016,17/10/2016,65,177,1177994
477,WAITING FOR DEPARTURE,56856,60936,,,51,1344,1742795
478,CANCELLED,65449,63402,,,142,1737,1669579
479,TAKEOFF,44570,87353,25/10/2019,25/10/2019,101,762,1035417
480,WAITING FOR DEPARTURE,72414,99242,,,6,1674,1506136
481,TAKEOFF,50474,60706,18/03/2020,18/03/2020,188,328,1439628
482,CANCELLED,34028,86696,,,99,925,1969936
483,DELAYED,75640,31031,30/10/2016,29/10/2016,7,682,1184238
484,DELAYED,92011,41000,29/12/2021,28/12/2021,8,1417,1828615
485,CANCELLED,35659,50743,,,70,466,1157602
486,CANCELLED,80655,88986,,,82,379,1584334
487,CANCELLED,89971,61460,,,3,1281,1647805
488,ARRIVED,32541,84345,27/07/2016,26/07/2016,160,1055,1322018
489,WAITING FOR DEPARTURE,76340,62683,,,183,1030,1201632
490,ARRIVED,87481,38604,21/10/2020,20/10/2020,31,591,1856380
491,CANCELLED,75808,98374,,,38,1543,1125528
492,ARRIVED,61482,87610,14/08/2016,13/08/2016,121,961,1526157
493,DELAYED,30512,64705,26/11/2016,26/11/2016,19,674,1447039
494,CANCELLED,63831,61939,,,156,1809,1891895
495,ARRIVED,67516,84248,18/02/2016,17/02/2016,47,1154,1692047
496,CANCELLED,88859,67318,,,129,2111,1192565
497,WAITING FOR DEPARTURE,79675,72899,,,43,901,1334489
498,ARRIVED,88946,98438,12/10/2020,12/10/2020,126,1602,1816041
499,CANCELLED,58857,53926,,,108,1299,1245853
500,CANCELLED,79104,90624,,,169,999,1096490
501,CANCELLED,98774,73761,,,161,1148,1197645
502,ARRIVED,56887,74713,20/07/2015,19/07/2015,156,1901,1343279
503,TAKEOFF,33786,71750,26/03/2019,26/03/2019,135,1706,1048189
504,ARRIVED,37692,95236,24/04/2020,23/04/2020,37,1245,1217678
505,CANCELLED,89904,70520,,,145,1464,1059831
506,WAITING FOR DEPARTURE,98939,90467,,,123,1316,1844091
507,ARRIVED,31656,40047,18/06/2015,17/06/2015,25,649,1221996
508,WAITING FOR DEPARTURE,87872,80789,,,2,38,1960458
509,ARRIVED,46658,49672,23/07/2017,22/07/2017,107,1543,1565710
510,ARRIVED,76398,52497,30/05/2017,29/05/2017,116,1141,1950672
511,ARRIVED,86938,39498,17/11/2015,17/11/2015,32,1756,1681414
512,CANCELLED,35325,73117,,,114,1853,1481987
513,DELAYED,66130,76850,16/02/2015,16/02/2015,65,1525,1342304
514,ARRIVED,82105,85039,09/08/2022,08/08/2022,90,527,1887506
515,TAKEOFF,75134,45164,19/07/2017,19/07/2017,106,2027,1999228
516,ARRIVED,54520,59107,09/05/2015,09/05/2015,104,1773,1510128
517,CANCELLED,60335,67385,,,175,934,1655564
518,CANCELLED,33638,79063,,,95,2034,1950641
519,DELAYED,99926,82768,19/03/2020,18/03/2020,35,40,1632697
520,WAITING FOR DEPARTURE,45722,96613,,,2,808,1701373
521,WAITING FOR DEPARTURE,77392,95262,,,144,1161,1239227
522,WAITING FOR DEPARTURE,97426,85798,,,130,391,1103593
523,WAITING FOR DEPARTURE,62342,50252,,,111,926,1656267
524,CANCELLED,83025,48875,,,140,1069,1312081
525,ARRIVED,39942,61885,20/02/2018,19/02/2018,66,1304,1343906
526,DELAYED,57236,48817,04/11/2019,03/11/2019,41,1857,1312867
527,WAITING FOR DEPARTURE,69596,32668,,,142,109,1530703
528,CANCELLED,34339,69396,,,186,419,1564683
529,DELAYED,49210,39148,03/06/2018,02/06/2018,113,765,1922970
530,TAKEOFF,49375,69540,30/07/2019,30/07/2019,149,1660,1423239
531,TAKEOFF,36770,30321,04/01/2022,04/01/2022,66,757,1873769
532,ARRIVED,36488,43306,23/10/2016,23/10/2016,127,766,1194630
533,TAKEOFF,54641,58446,21/11/2015,21/11/2015,67,1087,1412084
534,WAITING FOR DEPARTURE,36551,64696,,,130,256,1449892
535,ARRIVED,45382,41646,20/05/2015,20/05/2015,92,1582,1348703
536,TAKEOFF,60284,45198,12/06/2020,11/06/2020,53,2066,1336294
537,DELAYED,55976,71981,27/02/2020,27/02/2020,161,751,1428172
538,WAITING FOR DEPARTURE,95007,92796,,,132,703,1888408
539,ARRIVED,70644,34051,03/09/2022,02/09/2022,29,1666,1014702
540,CANCELLED,42506,68103,,,97,1632,1524319
541,TAKEOFF,30201,78541,26/05/2020,25/05/2020,23,1251,1975663
542,CANCELLED,35172,70805,,,145,994,1718290
543,ARRIVED,50577,60288,22/09/2022,21/09/2022,154,291,1380178
544,WAITING FOR DEPARTURE,69388,40177,,,73,1719,1773572
545,WAITING FOR DEPARTURE,40000,48772,,,57,592,1863353
546,WAITING FOR DEPARTURE,83019,47745,,,131,78,1538354
547,WAITING FOR DEPARTURE,82303,52452,,,173,1757,1630780
548,TAKEOFF,92275,70117,19/06/2022,18/06/2022,56,1058,1416499
549,ARRIVED,57917,90509,30/08/2020,29/08/2020,119,1721,1794734
550,CANCELLED,50593,83794,,,103,1765,1109885
551,WAITING FOR DEPARTURE,51491,80338,,,98,1976,1677092
552,DELAYED,70014,57375,01/12/2019,30/11/2019,3,1276,1675409
553,DELAYED,84630,32328,06/05/2021,06/05/2021,124,14,1083976
554,WAITING FOR DEPARTURE,50858,32807,,,46,1136,1168556
555,WAITING FOR DEPARTURE,85771,62446,,,60,1986,1091902
556,TAKEOFF,71437,42703,17/08/2020,16/08/2020,154,761,1895025
557,TAKEOFF,87410,48915,17/06/2016,16/06/2016,162,1289,1363398
558,WAITING FOR DEPARTURE,32973,45133,,,100,1664,1753044
559,DELAYED,46244,86470,31/03/2021,31/03/2021,108,541,1378621
560,CANCELLED,71992,33579,,,139,1195,1725070
561,WAITING FOR DEPARTURE,30094,71903,,,91,155,1925987
562,DELAYED,44068,38400,16/10/2020,15/10/2020,72,987,1200741
563,TAKEOFF,36429,45976,15/05/2020,14/05/2020,164,26,1218369
564,WAITING FOR DEPARTURE,43228,56096,,,179,608,1046395
565,TAKEOFF,30206,79304,31/08/2017,31/08/2017,176,956,1702791
566,WAITING FOR DEPARTURE,52486,70485,,,122,13,1579009
567,WAITING FOR DEPARTURE,85486,36775,,,110,1744,1919712
568,TAKEOFF,91525,40126,18/02/2021,18/02/2021,67,2091,1146996
569,TAKEOFF,74529,67420,14/01/2017,13/01/2017,46,310,1176087
570,TAKEOFF,85155,73389,25/09/2022,25/09/2022,185,720,1958791
571,TAKEOFF,70519,40213,20/08/2020,19/08/2020,52,1938,1126068
572,WAITING FOR DEPARTURE,71361,70567,,,89,1988,1056511
573,TAKEOFF,69216,89047,11/02/2017,11/02/2017,117,473,1906928
574,WAITING FOR DEPARTURE,83732,86363,,,1,558,1088370
575,TAKEOFF,58025,90771,28/08/2021,27/08/2021,27,967,1576507
576,DELAYED,99515,68841,28/05/2017,28/05/2017,59,672,1476061
577,CANCELLED,87980,58439,,,149,487,1173493
578,ARRIVED,31521,75476,19/08/2016,19/08/2016,121,1247,1517896
579,TAKEOFF,36635,62058,21/09/2022,21/09/2022,58,227,1269277
580,DELAYED,39896,73597,22/07/2016,21/07/2016,35,121,1082518
581,DELAYED,71415,92625,14/01/2015,13/01/2015,168,1161,1427374
582,WAITING FOR DEPARTURE,85074,71386,,,131,706,1928643
583,DELAYED,39288,86499,26/11/2018,26/11/2018,123,668,1776605
584,WAITING FOR DEPARTURE,37679,34999,,,51,1512,1964347
585,ARRIVED,70216,57455,12/01/2019,12/01/2019,170,92,1557541
586,TAKEOFF,65058,90000,25/04/2018,25/04/2018,121,417,1656726
587,DELAYED,84501,41675,13/05/2016,12/05/2016,25,1325,1932675
588,TAKEOFF,48785,90020,13/01/2015,13/01/2015,99,908,1785671
589,DELAYED,38901,51869,29/01/2019,29/01/2019,157,1970,1582427
590,WAITING FOR DEPARTURE,38080,44618,,,137,856,1507432
591,ARRIVED,48060,55676,12/07/2018,11/07/2018,83,452,1820109
592,ARRIVED,40764,32138,07/04/2022,07/04/2022,137,521,1248812
593,DELAYED,35991,71625,25/12/2016,25/12/2016,38,1613,1520560
594,CANCELLED,94527,70850,,,23,142,1906344
595,ARRIVED,39232,94881,14/01/2021,13/01/2021,27,778,1617051
596,TAKEOFF,41421,70323,17/05/2017,16/05/2017,17,1420,1957804
597,WAITING FOR DEPARTURE,80400,33162,,,71,789,1597896
598,CANCELLED,72077,83514,,,53,627,1238697
599,DELAYED,73214,74655,06/08/2016,05/08/2016,12,1662,1188396
600,CANCELLED,43895,88092,,,115,454,1856188
601,ARRIVED,40751,49179,24/12/2016,23/12/2016,49,765,1219934
602,WAITING FOR DEPARTURE,86939,95132,,,123,1776,1389294
603,TAKEOFF,42042,80792,26/06/2019,25/06/2019,143,1137,1857736
604,CANCELLED,86409,83120,,,0,1766,1906488
605,CANCELLED,60147,50270,,,0,2039,1558469
606,TAKEOFF,38768,82002,14/03/2015,13/03/2015,67,306,1190882
607,TAKEOFF,31417,41029,01/10/2021,01/10/2021,134,658,1313511
608,CANCELLED,73216,48402,,,165,753,1724748
609,CANCELLED,92080,61102,,,136,2025,1968985
610,TAKEOFF,67477,97349,15/09/2016,14/09/2016,80,1331,1745660
611,DELAYED,44316,92150,31/08/2021,30/08/2021,171,1429,1743358
612,DELAYED,38485,96330,09/03/2018,09/03/2018,161,1669,1299410
613,TAKEOFF,93304,44520,30/07/2019,29/07/2019,163,579,1434099
614,CANCELLED,64933,68755,,,106,1433,1741245
615,CANCELLED,48380,33561,,,50,616,1122894
616,TAKEOFF,72996,86729,09/01/2022,09/01/2022,150,502,1656397
617,ARRIVED,80231,55865,04/11/2016,03/11/2016,14,1430,1148656
618,TAKEOFF,36283,94214,10/09/2016,09/09/2016,64,1071,1701206
619,ARRIVED,32513,92337,22/10/2017,22/10/2017,18,2084,1058866
620,TAKEOFF,85563,72884,19/05/2019,18/05/2019,35,1548,1295004
621,TAKEOFF,51206,79479,29/07/2019,28/07/2019,179,1541,1670746
622,WAITING FOR DEPARTURE,58870,64686,,,178,401,1739907
623,TAKEOFF,33879,84420,18/08/2015,18/08/2015,188,259,1445545
624,DELAYED,92014,58870,12/05/2015,12/05/2015,43,1963,1570116
625,ARRIVED,94961,42060,11/09/2017,11/09/2017,114,2019,1932532
626,ARRIVED,69568,81431,20/07/2019,19/07/2019,180,812,1556926
627,TAKEOFF,63336,60277,22/04/2017,21/04/2017,139,118,1700851
628,TAKEOFF,50871,35616,11/12/2015,10/12/2015,147,323,1997015
629,TAKEOFF,99904,97797,12/02/2016,11/02/2016,64,329,1196251
630,CANCELLED,66888,36492,,,80,1192,1134410
631,WAITING FOR DEPARTURE,36313,89826,,,187,471,1389750
632,DELAYED,33070,80725,01/01/2015,01/01/2015,148,251,1892050
633,CANCELLED,89567,78247,,,37,1540,1844676
634,WAITING FOR DEPARTURE,43493,47245,,,70,622,1338542
635,TAKEOFF,92739,33722,14/02/2017,14/02/2017,132,455,1009233
636,CANCELLED,93698,62913,,,58,1194,1187051
637,DELAYED,35975,64289,14/01/2021,13/01/2021,18,1459,1937082
638,DELAYED,88974,33178,03/02/2017,02/02/2017,24,751,1098674
639,CANCELLED,45020,96138,,,99,665,1878430
640,TAKEOFF,82635,81841,14/01/2018,13/01/2018,163,1431,1709714
641,DELAYED,40922,62755,05/07/2019,05/07/2019,101,1528,1863405
642,ARRIVED,59894,65273,18/12/2019,17/12/2019,179,1627,1249157
643,DELAYED,73837,35961,12/10/2017,11/10/2017,116,1666,1841149
644,CANCELLED,73708,67297,,,127,739,1758490
645,TAKEOFF,36179,84012,17/04/2018,16/04/2018,4,1961,1324501
646,WAITING FOR DEPARTURE,54708,82918,,,144,1213,1090573
647,TAKEOFF,46375,85379,14/05/2018,14/05/2018,93,2082,1895503
648,DELAYED,75993,81501,05/11/2015,05/11/2015,19,1093,1994985
649,ARRIVED,58576,75242,19/04/2017,18/04/2017,147,1946,1482251
650,TAKEOFF,33255,71786,14/08/2016,14/08/2016,130,1712,1152695
651,CANCELLED,71647,53903,,,79,1010,1598309
652,WAITING FOR DEPARTURE,45570,34531,,,47,1799,1477607
653,DELAYED,88272,81106,11/09/2021,11/09/2021,16,798,1120055
654,TAKEOFF,73805,94080,07/04/2016,06/04/2016,29,1187,1501150
655,CANCELLED,50569,86688,,,173,546,1338324
656,DELAYED,52456,70825,27/06/2020,26/06/2020,42,483,1658561
657,WAITING FOR DEPARTURE,40384,90966,,,40,194,1305472
658,CANCELLED,83075,52221,,,60,847,1452580
659,CANCELLED,91684,64346,,,100,1220,1254449
660,TAKEOFF,97744,35966,26/05/2017,26/05/2017,144,60,1638489
661,ARRIVED,47774,53548,30/05/2016,29/05/2016,26,1171,1143260
662,DELAYED,51176,44039,11/11/2021,10/11/2021,162,2017,1382071
663,DELAYED,68747,43165,22/09/2018,21/09/2018,81,1239,1893779
664,TAKEOFF,78687,59450,26/10/2015,25/10/2015,129,112,1098568
665,WAITING FOR DEPARTURE,99097,40276,,,52,446,1264729
666,DELAYED,63350,88758,23/05/2020,22/05/2020,9,1942,1735867
667,CANCELLED,31898,80990,,,104,1583,1067290
668,ARRIVED,62713,96034,24/09/2020,24/09/2020,23,18,1502613
669,WAITING FOR DEPARTURE,55437,72356,,,122,933,1420739
670,WAITING FOR DEPARTURE,94148,53738,,,69,332,1467901
671,DELAYED,78665,75364,23/02/2020,22/02/2020,26,563,1915148
672,DELAYED,56135,65993,10/02/2022,10/02/2022,158,1404,1123959
673,TAKEOFF,35907,40206,19/03/2020,18/03/2020,109,1767,1335531
674,TAKEOFF,84255,64377,20/02/2020,19/02/2020,85,1019,1866754
675,DELAYED,42267,59348,06/10/2020,05/10/2020,119,1005,1498941
676,TAKEOFF,95201,73957,07/06/2018,07/06/2018,6,531,1576909
677,TAKEOFF,47540,57144,28/11/2022,27/11/2022,49,1093,1221899
678,CANCELLED,52472,71437,,,10,1646,1855622
679,CANCELLED,67625,59652,,,121,1935,1165783
680,WAITING FOR DEPARTURE,97392,98025,,,70,887,1702972
681,CANCELLED,92604,92946,,,24,409,1284974
682,CANCELLED,85995,99318,,,118,1025,1211991
683,WAITING FOR DEPARTURE,54281,65361,,,58,289,1488657
684,TAKEOFF,77787,99153,26/12/2015,26/12/2015,142,732,1662317
685,WAITING FOR DEPARTURE,58981,59417,,,106,1137,1563891
686,CANCELLED,50790,88368,,,3,1529,1336380
687,TAKEOFF,72958,97126,01/11/2017,31/10/2017,62,1650,1897277
688,TAKEOFF,55866,97092,03/12/2019,03/12/2019,12,612,1959722
689,DELAYED,88675,31254,09/08/2018,09/08/2018,42,135,1283434
690,WAITING FOR DEPARTURE,81878,95472,,,184,1435,1165994
691,WAITING FOR DEPARTURE,34965,84758,,,39,882,1496541
692,CANCELLED,56327,36156,,,74,1554,1675940
693,DELAYED,46053,88066,18/09/2016,18/09/2016,152,974,1742580
694,CANCELLED,65081,91680,,,131,1629,1140466
695,DELAYED,98746,63935,05/08/2019,05/08/2019,155,653,1989922
696,CANCELLED,55628,97468,,,65,110,1209118
697,ARRIVED,59035,37071,25/10/2022,24/10/2022,37,531,1025705
698,WAITING FOR DEPARTURE,62095,36875,,,80,1818,1457410
699,CANCELLED,96546,99409,,,144,478,1160407
700,TAKEOFF,74949,67845,09/03/2022,08/03/2022,27,791,1752644
701,WAITING FOR DEPARTURE,40963,74706,,,64,307,1614377
702,DELAYED,39765,68481,22/06/2018,21/06/2018,58,1797,1148840
703,TAKEOFF,78906,37503,26/05/2019,25/05/2019,107,1743,1835410
704,CANCELLED,79730,70198,,,181,515,1759348
705,ARRIVED,63906,76127,24/12/2018,24/12/2018,55,630,1613873
706,WAITING FOR DEPARTURE,52064,38137,,,125,238,1336120
707,CANCELLED,84297,82042,,,52,384,1452266
708,CANCELLED,72667,55992,,,96,786,1428306
709,DELAYED,78695,71078,28/05/2019,27/05/2019,180,1275,1151300
710,CANCELLED,81935,51831,,,104,1271,1773562
711,ARRIVED,54223,88847,29/03/2020,29/03/2020,111,1082,1924462
712,DELAYED,99879,91364,03/09/2017,02/09/2017,186,838,1130452
713,ARRIVED,75420,78314,04/04/2022,04/04/2022,151,2045,1895517
714,CANCELLED,92579,76510,,,68,323,1242550
715,TAKEOFF,97671,54258,12/03/2019,12/03/2019,2,308,1950813
716,TAKEOFF,31755,34308,21/07/2022,20/07/2022,18,1716,1225892
717,WAITING FOR DEPARTURE,45404,86936,,,8,259,1853409
718,CANCELLED,88582,95181,,,57,2017,1060544
719,ARRIVED,66932,76748,27/07/2021,26/07/2021,109,1659,1135742
720,TAKEOFF,39001,32717,03/05/2021,03/05/2021,79,1441,1221564
721,WAITING FOR DEPARTURE,99649,44630,,,0,1697,1939696
722,ARRIVED,45871,80098,03/07/2017,03/07/2017,86,354,1328676
723,ARRIVED,45553,89296,09/09/2022,08/09/2022,20,1464,1713076
724,DELAYED,66321,54446,01/07/2021,01/07/2021,62,470,1043345
725,DELAYED,70706,59274,31/03/2022,30/03/2022,120,1031,1910791
726,CANCELLED,91725,71911,,,150,202,1264619
727,ARRIVED,35609,71951,04/10/2016,04/10/2016,88,544,1402412
728,TAKEOFF,85043,85148,10/06/2022,09/06/2022,167,660,1864491
729,TAKEOFF,70230,77980,22/09/2016,22/09/2016,11,1834,1351469
730,ARRIVED,40387,77182,15/05/2020,15/05/2020,116,781,1631694
731,DELAYED,53468,99227,02/06/2016,01/06/2016,52,1018,1030994
732,ARRIVED,65250,36556,24/05/2020,23/05/2020,102,55,1831718
733,CANCELLED,46387,50215,,,110,932,1268676
734,CANCELLED,96060,86191,,,29,1185,1137952
735,WAITING FOR DEPARTURE,65511,61839,,,76,1213,1713451
736,ARRIVED,71309,81980,01/04/2016,01/04/2016,110,486,1666305
737,DELAYED,62345,51829,21/04/2017,20/04/2017,178,1673,1698591
738,ARRIVED,78391,52060,02/09/2018,02/09/2018,4,139,1753517
739,ARRIVED,72965,77006,03/09/2022,02/09/2022,71,1405,1366419
740,CANCELLED,41084,65968,,,187,1900,1120601
741,DELAYED,32298,56169,15/02/2017,15/02/2017,149,671,1174996
742,DELAYED,92388,99185,03/10/2019,02/10/2019,140,1691,1429845
743,DELAYED,97685,93634,28/02/2018,27/02/2018,96,939,1951898
744,DELAYED,34250,92540,28/09/2021,28/09/2021,136,936,1125181
745,WAITING FOR DEPARTURE,83294,99277,,,94,969,1188365
746,TAKEOFF,97292,52549,24/08/2021,24/08/2021,164,974,1607727
747,CANCELLED,59503,51523,,,51,1816,1296499
748,WAITING FOR DEPARTURE,79111,51485,,,188,861,1683369
749,TAKEOFF,98259,69865,31/08/2018,31/08/2018,65,306,1243828
750,CANCELLED,96437,91091,,,86,213,1212917
751,ARRIVED,99872,70697,27/06/2016,27/06/2016,62,2039,1434365
752,ARRIVED,92506,58788,15/08/2021,15/08/2021,55,1070,1700513
753,WAITING FOR DEPARTURE,61237,34727,,,179,1436,1805605
754,TAKEOFF,45261,37389,12/01/2020,11/01/2020,26,368,1385601
755,ARRIVED,96912,72735,26/02/2018,26/02/2018,169,1650,1347980
756,WAITING FOR DEPARTURE,92023,75031,,,83,732,1145012
757,TAKEOFF,89436,33440,11/04/2021,10/04/2021,100,1096,1683483
758,WAITING FOR DEPARTURE,53100,71822,,,18,1730,1335350
759,CANCELLED,99956,71922,,,14,1898,1632572
760,ARRIVED,46793,40469,04/12/2019,04/12/2019,64,97,1688117
761,DELAYED,58419,85147,12/10/2022,11/10/2022,81,2036,1489634
762,DELAYED,30860,40352,10/07/2017,09/07/2017,145,1970,1234059
763,WAITING FOR DEPARTURE,94449,81634,,,176,1416,1374633
764,CANCELLED,34846,43124,,,77,1605,1396879
765,ARRIVED,59583,60239,01/07/2021,30/06/2021,9,133,1511790
766,ARRIVED,53652,69755,23/08/2016,23/08/2016,24,427,1901065
767,WAITING FOR DEPARTURE,87333,53789,,,149,1942,1596851
768,ARRIVED,68492,95718,05/09/2019,05/09/2019,89,258,1813266
769,CANCELLED,65129,80694,,,144,249,1202769
770,CANCELLED,31592,93452,,,25,783,1519564
771,DELAYED,83091,83206,23/02/2019,22/02/2019,179,1000,1204991
772,WAITING FOR DEPARTURE,76075,37334,,,2,1030,1047752
773,CANCELLED,50882,37332,,,75,839,1863886
774,ARRIVED,88543,83027,05/06/2019,04/06/2019,94,456,1943056
775,WAITING FOR DEPARTURE,42769,97582,,,65,1584,1498714
776,TAKEOFF,77694,82044,15/10/2022,14/10/2022,120,1634,1158702
777,WAITING FOR DEPARTURE,94586,81777,,,116,1084,1394209
778,ARRIVED,49130,39236,20/11/2018,20/11/2018,88,976,1530831
779,TAKEOFF,96712,49224,19/06/2017,19/06/2017,186,1194,1469910
780,TAKEOFF,82830,81432,01/06/2020,31/05/2020,122,1207,1490224
781,ARRIVED,87720,59622,14/09/2020,14/09/2020,162,714,1100780
782,DELAYED,59709,52039,02/07/2016,01/07/2016,54,1136,1127080
783,CANCELLED,72332,50770,,,182,1108,1712293
784,DELAYED,99915,78130,27/08/2019,26/08/2019,133,566,1260541
785,ARRIVED,92111,99066,19/05/2019,19/05/2019,172,64,1823601
786,CANCELLED,52416,86759,,,47,192,1785627
787,ARRIVED,67517,70630,07/03/2015,06/03/2015,11,1474,1920496
788,DELAYED,87209,38139,22/12/2020,22/12/2020,43,560,1363384
789,CANCELLED,93775,66591,,,55,1441,1549864
790,CANCELLED,69540,37608,,,61,2111,1828963
791,TAKEOFF,39774,34522,11/04/2017,11/04/2017,62,1639,1365059
792,ARRIVED,54802,94076,22/10/2020,21/10/2020,39,1759,1318958
793,CANCELLED,35472,78038,,,13,194,1667237
794,TAKEOFF,95147,74577,07/06/2015,06/06/2015,28,349,1688442
795,DELAYED,79649,34798,20/06/2016,20/06/2016,179,555,1513420
796,TAKEOFF,94166,93365,05/03/2016,05/03/2016,22,1919,1058843
797,WAITING FOR DEPARTURE,30159,58929,,,18,840,1509293
798,WAITING FOR DEPARTURE,82054,39299,,,62,1342,1791548
799,CANCELLED,96526,37424,,,47,463,1626229
800,ARRIVED,78770,78688,07/08/2019,07/08/2019,172,304,1927275
801,DELAYED,37805,66647,01/03/2015,28/02/2015,35,948,1340752
802,CANCELLED,42139,34562,,,92,162,1942615
803,CANCELLED,99971,75310,,,81,1221,1953712
804,DELAYED,30425,96420,30/01/2018,30/01/2018,28,1200,1112256
805,TAKEOFF,72935,46152,05/06/2019,04/06/2019,140,1478,1244902
806,CANCELLED,43215,66971,,,51,1693,1450442
807,ARRIVED,78125,87207,23/09/2017,23/09/2017,91,1636,1032843
808,ARRIVED,74754,62655,03/06/2017,03/06/2017,83,2101,1234701
809,ARRIVED,57346,84943,06/10/2019,06/10/2019,124,2084,1882823
